0.00	4.51	in this video i will show you how to prepare data for kaldi
4.52	17.95	first of all for speech recognition we would need audio recordings with duration from two to thirty seconds roughly and transcriptions for them
18.64	27.70	this tutorial suggests to use recordings of spoken digits and they also suggest to make it on your own
28.33	34.36	eh i was a bit lazy and found a free pre-recorded spoken digits dataset
63.94	85.70	you can use ctrl r to search for commands in the history for example i can find eh cd command to change directory to the teamlab directory or to connect to phoenix
136.91	141.47	here you can see the individual recording files
144.97	153.03	from the documentation i know that eh the naming works as follows
153.04	159.24	the first part is the digit which is pronounced in this audio file
159.25	166.51	the second part is the name of speaker and the third part is the id of this recording
175.30	178.74	and we have two thousand recordings
178.75	182.88	five hundred recordings per speaker
185.16	194.15	yeah as you can see there are four speakers theo yweweler nicolas and jackson
195.20	204.09	i would suggest you to use the same dataset so that you can compare results and make sure that everything is correct
217.99	223.55	we will start making our own recipy in the egs directory
235.16	241.42	let's create s5 directory just to be uniform with other recipies
241.61	246.59	as i mentioned before it doesn't mean anything it's just a tradition
267.34	282.32	okay here the tutorial tells how to store the data we actually will not do it because we already have data in separate directory when we did git clone
284.21	290.49	now we see the description of actual files which we need to create
292.12	300.07	all datasets in kaldi recipies are usually stored under data directory
303.41	305.04	let's make data
306.62	313.90	and in this recipy we will have two datasets one is test and another one is train
361.33	369.64	so in kaldi datasets are usually described in text files
370.43	391.67	and the first field is usually some id for some item most it's utterance or recording id and other fields are some attributes for that item
392.81	400.57	for example here we the description of speakers genders file
400.93	406.13	it lists eh all the speakers and their genders
406.83	414.17	we will not create this file because i'ts not needed for most of the systems
417.63	427.84	okay the next file is wav dot scp and it's actually very important file because it lists audio files
438.47	449.76	so normally ehm normally it can be either utterance or recording id
449.77	459.95	in this case we see utterance id because it's only one utterance per recording
462.09	472.59	one utterance is the shortest unit of data in speech recognition systems
478.04	486.61	so as you can see we just need to create a list of files and give them names
518.07	537.72	we will go one by one over all four speakers and list files for each speaker and direct this list to wav scp
537.80	540.58	so let's start from jackson
543.73	547.44	here are all the files by jackson
547.89	558.38	you can use this pattern star jackson star to list all files with this string in the name
560.89	575.74	now we will use a short eh no we will not use awk we will use a for loop in bash
579.80	589.20	so f in this case is variable which contains one file name or the name of one file
595.52	610.87	this bash loop means go over all files and print the name of the file for each of the file
613.22	620.76	i made a mistake there is one word missing yeah now it's working
624.25	632.01	okay but we need not only the name of the file the full path of the file we also need an utterance id for it
633.00	638.77	for this we will use eh bash subcommand
641.38	647.26	so basename this file name dot wav
649.73	655.07	it just prints the name of the file without directory and without dot wav in the end
658.61	663.36	we can use this as a name of utterance
666.65	684.60	but in kaldi we have requirement that every utterance has to start with speaker name otherwise there will be a problem with sorting in datasets
684.63	692.95	so i will add the name of speaker to the utterance id
697.55	705.00	okay and finally i need to add file path again
705.79	715.01	so as you can see we have now utterance id space and file path
715.48	719.02	let's save this to train wav scp
728.40	732.42	done now we have this wav scp for jackson
733.47	741.91	and we can check there are all five hundred recordings for this speaker
741.92	745.54	now we have to repeat the same for the rest of the speakers
751.68	754.17	the next one is nicolas
768.59	780.54	here i will change the redirection command so that it does not create the file from scratch but appends the out to the existing file
786.06	794.97	now we have one thousand items in this file one thousand lines to say more precisely
795.38	798.01	and we have nicolas in the end
799.91	802.75	next one is theo
824.97	830.61	and finally this strange name yweweler
833.70	848.75	we will actually use it for testing because we would like to know how well our system would work on speakers which it didn't see in the training data
857.32	867.69	here we can still use append redirection but since we don't have this file yet it will be created from scratch
867.70	871.31	we could do it for training data as well
885.99	889.68	i think we have finished the wav scp part
892.69	895.13	the next one is text
895.98	905.89	for this file we have again the utterance id and the transcription for this utterance
916.62	934.10	ehm we will use the name of the utterance to infer the transcriptions since we know that the name already contains the digit which is pronounced in every file
934.11	950.21	for example all utterances with zero contain the pronunciation of the digit zero
951.92	957.23	to get list of all such utterances we will use grep command
958.16	987.81	and here i specify underscore zero underscore so that we don't get for example the utterances which just end with zero which would be incorrect because we don't actually know what is contained in this utterance based on just knowing that it ends with zero we need utterance containing zero in the middle
998.96	1014.81	now i will actually use awk to print the first field and then the transcription which is predefined it's just zero
1025.14	1051.25	awk is quite useful for working with ehm space separated text files because it breaks all fields automatically by space and it has some handy operations to work with ehm values listed from these files
1054.70	1056.93	let's check
