25.98	34.67	xyz
36.22	41.91	xyz
45.76	61.05	xyz
61.87	64.69	xyz
73.57	77.83	xyz
80.07	90.26	xyz
117.08	136.02	xyz
145.29	158.36	xyz
159.67	162.91	xyz
171.33	177.60	xyz
177.61	187.63	xyz
188.24	201.54	xyz
215.60	230.75	xyz
231.52	242.11	xyz
246.84	254.55	xyz
255.57	264.73	xyz
267.67	275.54	xyz
277.65	285.95	xyz
289.73	299.72	xyz
300.98	303.57	xyz
316.18	326.76	xyz
326.77	333.42	xyz
333.43	339.35	xyz
339.36	346.76	xyz
348.48	353.64	xyz
365.38	367.07	xyz
376.72	388.21	xyz
399.50	415.21	xyz
415.22	421.95	xyz
421.96	427.23	xyz
428.49	436.83	xyz
441.36	444.52	xyz
444.53	458.03	xyz
464.44	469.72	xyz
471.05	483.44	xyz
483.45	499.31	xyz
502.04	506.75	xyz
506.76	510.70	xyz
510.71	513.03	xyz
525.58	531.27	xyz
538.30	546.91	xyz
546.92	549.75	xyz
556.26	567.65	xyz
584.55	615.48	xyz
625.80	632.36	xyz
632.37	639.82	xyz
639.83	642.52	xyz
648.04	650.42	xyz
650.87	656.34	xyz
656.56	659.83	xyz
661.15	666.84	xyz
667.22	686.94	xyz
686.95	689.17	xyz
689.18	693.24	xyz
693.25	701.24	xyz
701.25	724.58	xyz
724.59	732.78	xyz
732.79	749.59	xyz
749.60	759.46	xyz
759.47	763.90	xyz
767.77	789.36	xyz
789.37	796.79	xyz
796.80	803.02	xyz
803.03	817.78	xyz
817.79	830.45	xyz
830.46	849.15	xyz
864.46	868.18	xyz
871.13	872.80	xyz
877.50	888.85	xyz
888.86	915.65	xyz
923.02	926.38	xyz
929.38	936.99	xyz
940.10	960.65	xyz
961.81	969.10	xyz
969.11	990.64	xyz
993.04	1003.16	xyz
1007.02	1012.40	xyz
